k1;k3;similarity
0.1;0.1;0.917
0.2;0.1;0.875
0.3;0.1;0.833
0.4;0.1;0.812
0.5;0.1;0.792
0.6;0.1;0.792
0.7;0.1;0.792
0.8;0.1;0.792
0.9;0.1;0.792
1;0.1;0.792
0.1;0.2;0.938
0.2;0.2;0.917
0.3;0.2;0.896
0.4;0.2;0.875
0.5;0.2;0.854
0.6;0.2;0.833
0.7;0.2;0.823
0.8;0.2;0.812
0.9;0.2;0.802
1;0.2;0.792
0.1;0.3;0.948
0.2;0.3;0.931
0.3;0.3;0.917
0.4;0.3;0.903
0.5;0.3;0.889
0.6;0.3;0.875
0.7;0.3;0.861
0.8;0.3;0.847
0.9;0.3;0.833
1;0.3;0.826
0.1;0.4;0.953
0.2;0.4;0.940
0.3;0.4;0.927
0.4;0.4;0.917
0.5;0.4;0.906
0.6;0.4;0.896
0.7;0.4;0.885
0.8;0.4;0.875
0.9;0.4;0.865
1;0.4;0.854
0.1;0.5;0.956
0.2;0.5;0.946
0.3;0.5;0.935
0.4;0.5;0.925
0.5;0.5;0.917
0.6;0.5;0.908
0.7;0.5;0.900
0.8;0.5;0.892
0.9;0.5;0.883
1;0.5;0.875
0.1;0.6;0.958
0.2;0.6;0.950
0.3;0.6;0.941
0.4;0.6;0.932
0.5;0.6;0.924
0.6;0.6;0.917
0.7;0.6;0.910
0.8;0.6;0.903
0.9;0.6;0.896
1;0.6;0.889
0.1;0.7;0.960
0.2;0.7;0.952
0.3;0.7;0.945
0.4;0.7;0.938
0.5;0.7;0.930
0.6;0.7;0.923
0.7;0.7;0.917
0.8;0.7;0.911
0.9;0.7;0.905
1;0.7;0.899
0.1;0.8;0.961
0.2;0.8;0.954
0.3;0.8;0.948
0.4;0.8;0.941
0.5;0.8;0.935
0.6;0.8;0.928
0.7;0.8;0.922
0.8;0.8;0.917
0.9;0.8;0.911
1;0.8;0.906
0.1;0.9;0.962
0.2;0.9;0.956
0.3;0.9;0.950
0.4;0.9;0.944
0.5;0.9;0.939
0.6;0.9;0.933
0.7;0.9;0.927
0.8;0.9;0.921
0.9;0.9;0.917
1;0.9;0.912
0.1;1;0.963
0.2;1;0.957
0.3;1;0.952
0.4;1;0.947
0.5;1;0.942
0.6;1;0.936
0.7;1;0.931
0.8;1;0.926
0.9;1;0.921
1;1;0.917
