k1;similarity;pair
0,1;0,28;1
0,2;0,298;1
0,3;0,304;1
0,4;0,307;1
0,5;0,309;1
0,6;0,31;1
0,7;0,311;1
0,8;0,311;1
0,9;0,312;1
1;0,312;1
0,1;0,959;2
0,2;0,98;2
0,3;0,986;2
0,4;0,99;2
0,5;0,992;2
0,6;0,993;2
0,7;0,994;2
0,8;0,995;2
0,9;0,995;2
1;0,996;2
0,1;0,316;3
0,2;0,553;3
0,3;0,645;3
0,4;0,718;3
0,5;0,762;3
0,6;0,791;3
0,7;0,812;3
0,8;0,828;3
0,9;0,84;3
1;0,85;3
0,1;0,063;4
0,2;0,23;4
0,3;0,311;4
0,4;0,355;4
0,5;0,389;4
0,6;0,417;4
0,7;0,437;4
0,8;0,453;4
0,9;0,465;4
1;0,475;4
0,1;0,167;5
0,2;0,194;5
0,3;0,204;5
0,4;0,208;5
0,5;0,211;5
0,6;0,213;5
0,7;0,214;5
0,8;0,215;5
0,9;0,216;5
1;0,217;5
0,1;0,648;6
0,2;0,695;6
0,3;0,742;6
0,4;0,771;6
0,5;0,791;6
0,6;0,805;6
0,7;0,815;6
0,8;0,822;6
0,9;0,828;6
1;0,833;6
0,1;0,281;7
0,2;0,473;7
0,3;0,581;7
0,4;0,648;7
0,5;0,694;7
0,6;0,724;7
0,7;0,746;7
0,8;0,762;7
0,9;0,774;7
1;0,784;7
0,1;0,943;8
0,2;0,951;8
0,3;0,953;8
0,4;0,954;8
0,5;0,955;8
0,6;0,956;8
0,7;0,956;8
0,8;0,956;8
0,9;0,957;8
1;0,957;8
0,1;0,331;9
0,2;0,332;9
0,3;0,332;9
0,4;0,333;9
0,5;0,333;9
0,6;0,333;9
0,7;0,333;9
0,8;0,333;9
0,9;0,333;9
1;0,333;9
